,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
12195,25,6,1,612.3848,16.11538947368421
12205,32,7,1,783.823,20.626921052631577
12213,39,8,0,0.0,0.0
12214,27,6,2,883.5764,23.25201052631579
12219,23,6,0,0.0,0.0
12221,42,7,1,908.3955,23.905144736842104
12222,24,7,3,785.5658,56.11212894736841
12245,31,7,0,0.0,0.0
12248,24,6,4,980.8116,89.97546578947369
12249,28,6,1,848.0313,22.316613157894736
12250,41,8,1,6565.992,172.78926315789474
12252,42,8,0,0.0,0.0
12257,36,6,2,1228.72,52.50903157894737
12261,26,6,1,883.5764,23.25201052631579
12262,48,8,5,8323.257,439.4602736842105
12263,20,7,6,48804.94,1851.222260526316
12272,27,8,4,1090.564,96.48312894736841
12275,36,7,1,915.9191,24.103134210526314
12277,31,5,1,650.9198,17.129468421052632
12283,40,8,4,13713.99,571.9069815789474
12284,24,7,1,1057.108,27.818631578947368
12286,32,7,2,1065.164,51.282642105263164
12288,41,8,4,8323.257,531.125894736842
12305,28,7,2,1117.472,52.659168421052634
12307,28,5,6,10894.72,483.6887605263157
12309,38,8,3,1472.608,85.89208684210526
12310,36,7,5,2183.574,142.3431289473684
12316,27,5,1,13713.99,360.89447368421054
12320,25,5,1,2659.79,69.99447368421052
12324,23,6,1,783.823,20.626921052631577
12326,44,8,6,980.8116,95.56686315789473
12328,38,8,0,0.0,0.0
12329,25,7,6,94590.41,2775.7606263157895
12330,25,7,0,0.0,0.0
12347,23,5,2,2173.083,82.99722631578948
12446,23,6,0,0.0,0.0
12649,42,7,3,883.5764,64.50585263157895
12667,43,7,3,2943.461,167.59077368421052
12746,30,7,2,13713.99,384.1464842105263
12749,33,6,0,0.0,0.0
12771,26,7,4,883.5764,63.91629210526316
12780,27,7,0,0.0,0.0
12788,27,7,5,1886.732,145.80570526315788
12793,39,7,4,2765.963,156.22630789473686
12798,27,7,0,0.0,0.0
12801,53,8,2,766.6232,37.30376315789474
12807,45,8,0,0.0,0.0
12814,35,7,1,988.9869,26.02597105263158
12818,45,8,0,0.0,0.0
12837,37,8,2,3661.11,116.97192105263157
12838,30,6,1,2183.574,57.46247368421053
12842,28,7,0,0.0,0.0
12848,23,5,1,904.32,23.797894736842107
12852,38,8,11,3428.529,322.6301789473684
12866,29,6,3,8485.756,265.62819999999994
12868,20,7,0,0.0,0.0
12890,28,8,0,0.0,0.0
12891,28,6,2,980.8116,25.81083157894737
12896,41,8,1,2752.447,72.4328157894737
12906,42,8,2,2779.551,98.95691052631578
12922,26,6,0,0.0,0.0
